resolucao	amostra	Value	Var
res_1_to_250	homogenea	9953,460043	area_total
Res_5_to_250	homogenea	9943,127939	area_total
Res_10_to_250	homogenea	9953,460043	area_total
Res_50_to_250	homogenea	9948,271593	area_total
res_1_to_250	heterogenea	3991,377632	area_total
Res_5_to_250	heterogenea	4011,381843	area_total
Res_10_to_250	heterogenea	3986,371725	area_total
Res_50_to_250	heterogenea	4106,418831	area_total
res_1_to_250	homogenea	835,669842	comissao
Res_5_to_250	homogenea	834,672311	comissao
Res_10_to_250	homogenea	835,669842	comissao
Res_50_to_250	homogenea	835,669842	comissao
res_1_to_250	heterogenea	923,178484	comissao
Res_5_to_250	heterogenea	931,810656	comissao
Res_10_to_250	heterogenea	923,268557	comissao
Res_50_to_250	heterogenea	1010,372408	comissao
res_1_to_250	homogenea	567,987464	omissao
Res_5_to_250	homogenea	577,32253	omissao
Res_10_to_250	homogenea	567,987464	omissao
Res_50_to_250	homogenea	583,247005	omissao
res_1_to_250	heterogenea	984,870619	omissao
Res_5_to_250	heterogenea	973,499076	omissao
Res_10_to_250	heterogenea	989,966256	omissao
Res_50_to_250	heterogenea	957,024664	omissao
res_1_to_250	homogenea	267,713597999998	area_dif
Res_5_to_250	homogenea	257,381493999999	area_dif
Res_10_to_250	homogenea	267,713597999998	area_dif
Res_50_to_250	homogenea	262,525147999999	area_dif
res_1_to_250	heterogenea	-61,6949279999999	area_dif
Res_5_to_250	heterogenea	-41,6907169999999	area_dif
Res_10_to_250	heterogenea	-66,7008350000001	area_dif
Res_50_to_250	heterogenea	53,3462709999999	area_dif
