resolucao	amostra	Value	Var
res_1_to_250	homogenea	99,5640354593239	percentual
Res_5_to_250	homogenea	99,4574138162874	percentual
Res_10_to_250	homogenea	99,2973227268908	percentual
Res_50_to_250	homogenea	99,9906856326962	percentual
res_1_to_250	heterogenea	98,4778232541684	percentual
Res_5_to_250	heterogenea	98,9713799498324	percentual
Res_10_to_250	heterogenea	98,3543143130899	percentual
Res_50_to_250	heterogenea	101,316193337531	percentual
res_1_to_250	homogenea	7,52809064474741	comissao_perc
Res_5_to_250	homogenea	7,47749859148827	comissao_perc
Res_10_to_250	homogenea	7,41828025418644	comissao_perc
Res_50_to_250	homogenea	7,70370166343953	comissao_perc
res_1_to_250	heterogenea	22,7772503534948	comissao_perc
Res_5_to_250	heterogenea	22,9902288253137	comissao_perc
Res_10_to_250	heterogenea	22,7794726921938	comissao_perc
Res_50_to_250	heterogenea	24,9285546469467	comissao_perc
res_1_to_250	homogenea	7,96404923854064	omissao_perc
Res_5_to_250	homogenea	8,02007823982429	omissao_perc
Res_10_to_250	homogenea	8,12096133701753	omissao_perc
Res_50_to_250	homogenea	7,71301264432387	omissao_perc
res_1_to_250	heterogenea	24,2993581886429	omissao_perc
Res_5_to_250	heterogenea	24,0187922024273	omissao_perc
Res_10_to_250	heterogenea	24,425081005705	omissao_perc
Res_50_to_250	heterogenea	23,6123249666174	omissao_perc
res_1_to_250	homogenea	-0,435964540676153	perc_dif
Res_5_to_250	homogenea	-0,542586183712558	perc_dif
Res_10_to_250	homogenea	-0,702677273109231	perc_dif
Res_50_to_250	homogenea	-0,009314367303773	perc_dif
res_1_to_250	heterogenea	-1,54570510956856	perc_dif
Res_5_to_250	heterogenea	-1,03931060745941	perc_dif
Res_10_to_250	heterogenea	-1,67322165621673	perc_dif
Res_50_to_250	heterogenea	1,29909473912598	perc_dif
res_1_to_250	homogenea	-0,435958593793231	dif_omitcomit
Res_5_to_250	homogenea	-0,542579648336023	dif_omitcomit
Res_10_to_250	homogenea	-0,702681082831093	dif_omitcomit
Res_50_to_250	homogenea	-0,009310980884345	dif_omitcomit
res_1_to_250	heterogenea	-1,52210783514816	dif_omitcomit
Res_5_to_250	heterogenea	-1,02856337711358	dif_omitcomit
Res_10_to_250	heterogenea	-1,64560831351117	dif_omitcomit
Res_50_to_250	heterogenea	1,31622968032924	dif_omitcomit
res_1_to_250	homogenea	15,4921398832881	total_error
Res_5_to_250	homogenea	15,4975768313126	total_error
Res_10_to_250	homogenea	15,539241591204	total_error
Res_50_to_250	homogenea	15,4167143077634	total_error
res_1_to_250	heterogenea	47,0766085421377	total_error
Res_5_to_250	heterogenea	47,009021027741	total_error
Res_10_to_250	heterogenea	47,2045536978988	total_error
Res_50_to_250	heterogenea	48,5408796135641	total_error
